發生地點,經度,緯度
高雄市前鎮區中山四路 / 高雄市前鎮區凱旋四路,120.315436,22.596791
臺南市仁德區保安里文賢路2段45號,120.238128,22.920915
桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路,121.172724,25.007968
新北市鶯歌區新北市鶯歌區堤外道路1K+000,121.350000,24.950000
花蓮縣豐濱鄉台11線 47公里200.0公尺處東側向外側,121.529255,23.617886
南投縣鹿谷鄉股聲巷9號附近,120.782616,23.720794
臺南市仁德區中洲路陸橋國道一號上方,120.263852,22.909759
臺南市永康區王行路1102-10號,120.274093,23.052105
彰化縣彰化市國道1號 195公里500.0公尺處南側向內側,120.553436,24.099005
新竹縣竹北市莊敬南路口 / 新竹縣竹北市成功十街,121.020040,24.816348
高雄市林園區石化三路9號前0.0公尺,120.405849,22.487654
花蓮縣壽豐鄉中山路6段170號,121.512510,23.875915
高雄市仁武區國道10號 4公里300.0公尺處東側向外側,120.351552,22.685030
臺北市萬華區萬板大橋往台北市前0.0公尺,121.491043,25.029496
高雄市阿蓮區中正路 / 高雄市阿蓮區中正路,120.333100,22.880690
高雄市楠梓區德中路 / 高雄市楠梓區大學二十九路,120.277277,22.723132
臺南市關廟區五甲里南雄路1段附近 / 臺南市關廟區五甲里南雄路1段口,120.333128,22.945183
南投縣集集鎮投54 3公里500.0公尺處,120.758129,23.830873
彰化縣鹿港鎮洋厝里新厝巷前0.0公尺,120.454415,24.086760
彰化縣和美鎮月眉里和港路552號前0.0公尺,120.489818,24.131780
屏東縣東港鎮興和里和東路27號前0.0公尺,120.480905,22.485999
屏東縣竹田鄉東西七路與過溝二路,120.515782,22.615991
彰化縣芬園鄉舊社村大彰路5段前0.0公尺,120.595087,24.028328
臺中市大雅區員林里神林路一段520巷前0.0公尺,120.661814,24.244196
嘉義縣六腳鄉蘇厝村縣道145線47.5公里與蘇厝村無名道路口,120.296300,23.555674
臺南市學甲區新榮里華宗路210號前0.0公尺,120.183495,23.225389
臺中市南區崇倫里崇倫街 / 臺中市南區崇倫里西川一路,120.655996,24.127821
高雄市三民區九如三路 / 高雄市三民區中庸街,120.285336,22.643770
高雄市田寮區國道3號 371公里100.0公尺處南側向外側,120.381735,22.851159
高雄市路竹區中山路226之1號前0.0公尺,120.259500,22.855590
新北市泰山區新北市泰山區大科路350002燈桿處,121.398532,25.058785
高雄市大社區中山路 / 高雄市大社區金龍路,120.353701,22.731153
花蓮縣瑞穗鄉台9線 251公里200.0公尺處南側,121.377562,23.534391
屏東縣屏東市和生路2段186號前0.0公尺,120.480580,22.652803
南投縣仁愛鄉投71 17公里20.0公尺處附近,121.047116,23.914570
宜蘭縣礁溪鄉匏杓崙路132號前0.0公尺,121.713216,24.808378
桃園市中壢區普仁里中山東路1段口 / 桃園市中壢區普仁里甘肅二街口,121.235279,24.955487
臺南市新營區嘉芳里復興路東側 / 臺南市新營區嘉芳街,120.285313,23.309081
屏東縣內埔鄉東寧村德光巷(路燈編號912-02209),120.561492,22.614317
桃園市楊梅區老莊路800號前0.0公尺,121.165369,24.881085
高雄市阿蓮區玉庫里無名路玉庫282電桿號前0.0公尺,120.310300,22.850110
彰化縣大城鄉山腳村鐵樹巷前0.0公尺,120.318026,23.840901
嘉義市西區北新里世賢路1段420號前0.0公尺,120.454930,23.481443
屏東縣枋山鄉台9線 451公里500.0公尺處南側向內側,120.702129,22.206985
彰化縣福興鄉秀厝村南環路3段前500.0公尺西側,120.425372,24.035457
臺北市中正區汀州路1段136號前0.0公尺,121.508073,25.029433
臺北市萬華區和平西路3段 / 臺北市萬華區廣州街,121.496965,25.036721
新竹市東區東大路橋往食品匝道口,120.977131,24.803769
雲林縣斗南鎮建國一路南側 / 雲林縣斗南鎮文化街東側,120.478224,23.683628
臺中市大安區中庄里中松路85號前0.0公尺,120.588791,24.348886
嘉義縣鹿草鄉施家村163線21公里900公尺處,120.300878,23.396990
桃園市大園區海港路口 / 桃園市大園區產業道路,121.231895,25.107666
屏東縣枋山鄉台1線451.5KM,120.651820,22.270348
桃園市觀音區二聖路口 / 桃園市觀音區六合街,121.138048,25.039155
高雄市林園區潭頭路226號前0.0公尺,120.396907,22.525924
彰化縣和美鎮嘉寶里嘉卿路1段390號前0.0公尺,120.518783,24.137150
臺南市善化區牛庄里區道南127-1線前0.0公尺,120.316002,23.148073
雲林縣北港鎮台19線往南,120.306717,23.608855
澎湖縣西嶼鄉縣203線 31公里400.0公尺處北側向外側,119.506271,23.587352
臺南市東區崇善路與崇善二街口,120.227854,22.977174
高雄市林園區中芸三路300號前0.0公尺,120.398532,22.494401
高雄市美濃區中正路2段543號前0.0公尺,120.536200,22.873650
彰化縣鹿港鎮海埔里鹿工路 / 彰化縣鹿港鎮海埔里鹿工北二路,120.412847,24.077578
新竹縣峨眉鄉台3線89.5公里,121.012094,24.691701
苗栗縣苑裡鎮苗140線與田心5路口,120.656476,24.415549
雲林縣水林鄉水南村產業道路蔦松40號電桿旁,120.227571,23.518240
宜蘭縣五結鄉國道5號 45公里100.0公尺處南側向外側,121.790787,24.700426
雲林縣斗六市明德北路西側 / 雲林縣斗六市文化路,120.556821,23.712800
雲林縣元長鄉龍岩村龍岩45之1號前路口,120.318171,23.622583
新竹縣新埔鎮楊新路1段318巷口,121.087108,24.831138
桃園市八德區國道2號 17公里300.0公尺處西側向外側,121.318584,24.969086
新北市五股區新北市五股區中興路與四維路,121.441968,25.081495
高雄市鳳山區經武路 / 高雄市鳳山區力行路,120.364568,22.639307
臺中市外埔區大同里三環路 / 臺中市外埔區大同里三環路,120.646815,24.328071
宜蘭縣員山鄉坡城路51-26號前0.0公尺附近,121.701291,24.779152
新北市貢寮區新北市貢寮區臺2線道路113.2K,121.944716,25.015890
臺中市西屯區台灣大道三段,120.647665,24.164183
雲林縣西螺鎮頂湳里145縣道台電電桿新社107A北側20公尺,120.443936,23.774492
臺南市北區成功路東側 / 臺南市北區金華路5段西側,120.196093,23.001476
屏東縣春日鄉力里村南和橋上,120.645783,22.437344
桃園市龍潭區中正路三坑段燈桿0302496處附近,121.247996,24.843865
苗栗縣苑裡鎮130縣道(福田里37之1號前),120.676017,24.422765
基隆市中正區基隆市中正區北寧路海洋大學工學館前,121.781361,25.149910
臺南市東山區三榮里南314線6.7K,120.387849,23.314019
高雄市岡山區嘉峰路93號前0.0公尺,120.312335,22.828214
新北市樹林區新北市樹林區環漢路5段與四維路,121.435191,24.995727
臺南市東區林森路2段250號北側,120.223928,22.992099
桃園市蘆竹區中正路南側 / 桃園市蘆竹區榮興路南側,121.295625,25.041164
雲林縣口湖鄉台61線 255公里800.0公尺處北側向內側,120.181360,23.518469
新北市新店區新北市新店區北宜路3段210巷與北宜路3段北宜公路18.1K,121.590221,24.951395
屏東縣萬丹鄉香社村萬新路口 / 屏東縣萬丹鄉香社村大勇路口,120.485722,22.555368
雲林縣東勢鄉縣道158甲,120.271758,23.720417
雲林縣斗六市文化路與引善路口,120.567973,23.716914
臺中市清水區中社里鎮政路前0.0公尺,120.552338,24.270722
臺南市永康區和平路189號,120.266273,23.054024
苗栗縣銅鑼鄉樟樹村竹圍32之1號,120.779234,24.448526
新竹縣新豐鄉瑞興村5鄰崁頭90號,121.014969,24.906912
高雄市旗山區延平一路 / 高雄市旗山區中華路,120.484779,22.882211
臺南市北區北門路二段口 / 臺南市北區公園北路口,120.213530,23.003935
新北市三峽區新北市三峽區佳興路與龍埔路,121.366667,24.933333
高雄市旗山區旗甲路3段489號前0.0公尺,120.507700,22.941830
